,1,,,,,,,,,,今日の寮食はありません
,2,,,,,,,,,,今日の寮食はありません
,3,,,,,,,,,,今日の寮食はありません
,4,,,,,,,,,,今日の寮食はありません
,5,,,,,,,,,,今日の寮食はありません
,6,ミートオムレツ,ウインナーと野菜のソテー,キャベツとわかめの味噌汁,タンメン,湯豆腐(生姜あん),グリルチキンカレー風味,小松菜の香味浸し,わかめと麩の味噌汁,,
,7,チキンナゲット,玉葱のサラダ,マカロニと野菜のスープ,七草の和風スパゲティ,豆苗の香味和え,ハンバーグジンジャーソース,ケチャップスパゲティー,キャベツとえのきの味噌汁,,昼特:プリン
,8,野菜のスクランブル,コーンじゃがバター風味,大根とわかめの味噌汁,ジャコ炒飯,蒸し鶏と胡瓜の梅和え,鯖の生姜煮,厚揚げと青菜の煮物,じゃがいもと玉ねぎの味噌汁,,
,9,ハンバーグ,ひじきと枝豆の煮物,キャベツと玉葱の味噌汁,牛肉と野菜のすき焼き丼,玉葱のおかか和え,「勝飯」鶏むね肉のパン粉焼きセット,さつまいもとレーズンのチーズサラダ,小松菜とわかめの味噌汁,,
,10,肉野菜炒め,和風スパゲティ,春雨スープ,ポークカレー,大根ミックス,白身魚のマヨネーズチーズ焼き,おくらのピリ辛炒め,豆腐とわかめの味噌汁,,
,11,温泉玉子,厚揚げとキャベツの味噌炒め,ごぼうの味噌汁,昔ながらの麻婆豆腐,茄子の生姜醬油,照り煮チキン,菜の花みぞれ和え,キャベツとわかめの味噌汁,,
,12,オニオンスクランブル,ほうれん草とコーンのソテー,大根と人参の味噌汁,タコライス(豚挽肉と大豆ミート),ツナマヨポテト,鶏の黒胡椒炒め,白滝ときのこのピリ辛炒め,しめじとわかめの味噌汁,,
,13,照り焼き肉団子,ひじきと切干大根のきんぴら,キャベツとわかめの味噌汁,とんこつラーメン(東日本・西日本高専用),フライドポテト,アジフライ,栗かぼちゃの含め煮,わかめと玉ねぎの味噌汁,,
,14,高野豆腐の卵とじ,ベーコン,野菜スープ,鶏肉きんぴら丼,大根とツナの青じそサラダ,イタリアンハンバーグステーキ,白菜ときのこの煮物,じゃがいもとわかめの味噌汁,,
,15,ウインナー,ほうれん草とかぼちゃのソテー,おしるこ,大判きつねうどん,春巻,さばカレーカツ,ピリ辛こんにゃく,玉葱とえのきの味噌汁,,
,16,トマトスクランブル,白菜と挽肉の含め煮,大根と油揚げの味噌汁,しらす丼,チキンカツ,ポークと野菜のデミシチュー,さつま芋ダイスサラダ,大根とわかめの味噌汁,,
,17,根菜鶏つくねハンバーグ,スパゲティと玉葱のサラダ,中華コーンスープ,ビーフカレー,キャベツサラダ,鶏肉と野菜のうま煮,白菜と玉葱の和風和え,わかめと玉葱の味噌汁,,
,18,だし巻き玉子,人参のたらこ炒め,ごぼうの味噌汁,ベーコンと三色ピーマンのトマトソースパスタ,大根とツナのおかか和え,肉豆腐,カリフラワーのコンソメ煮,キャベツと大根の味噌汁,,
,19,かぼちゃのコロッケ,切り干し大根のコールスローサラダ,わかめと玉ねぎの味噌汁,ツナコーンピラフ,ブロッコリーのカレーマヨ和え,豚肉と野菜のしゃぶしゃぶ風,もやしの中華浸し,しめじとわかめの味噌汁,,
,20,和風スクランブル,ハム,わかめと玉ねぎの味噌汁,横浜もやしあんかけラーメン,餃子,鯖と白菜の和風煮,大根のそぼろあん,キャベツとしめじの味噌汁,,
,21,鯖の塩焼き,蒸し鶏のコールスローサラダ,コーンと玉葱のスープ,ロコモコハンバーグ目玉焼き添え,ほうれん草と白菜のお浸し,鶏の唐揚げ　甘辛だれ,ベーコンとポテトのガーリック醤油炒め,キャベツとえのきの味噌汁,,夕特:フルーチェ　ピーチ
,22,ウインナー(2本),白菜とチャーシューの炒め,大根とわかめの味噌汁,冬野菜のチキンカレー,もやしときくらげの香味和え,麻婆茄子,キャベツとおくらの塩昆布和え,じゃがいもと玉ねぎの味噌汁,,
,23,コーンスクランブル,さつま揚げと人参のきんぴら,じゃが芋と玉ねぎの味噌汁,中華丼,フライドポテト,豚肉の粗挽きペッパー焼き,青じそスパゲティ,小松菜とわかめの味噌汁,,
,24,肉野菜炒め,プレーンオムレツ,ポテトと人参のスープ,ミックスうどん,野菜かき揚げ,ハンバーグとミートコロッケ,大豆の甘辛炒め,キャベツと大根の味噌汁,,
,25,一口つくねの照り焼き,ソーセージとキャベツのフレンチサラダ,大根と人参の味噌汁,親子丼,キャベツのお浸し,フーチャンプル,わかめとしめじの煮浸し,じゃがいもと玉ねぎの味噌汁,,
,26,目玉焼き,ごぼうのポテトサラダ,豆腐とわかめの味噌汁,キャベツとベーコンのペペロンチーノ,もやしとほうれん草のナムル,肉団子のデミトマ煮,スイートエンドウのおかか和え,わかめと麩の味噌汁,,
,27,高野豆腐の卵とじ,ほうれん草とマカロニのクリーム煮,じゃが芋と玉葱の味噌汁,[茨城高専]スタミナラーメン,焼売,ビックメンチカツ,こんにゃくと野菜の煮物,キャベツとわかめの味噌汁,,
,28,鶏肉団子の甘酢あん,ごぼうの中華サラダ,野菜スープ,深川丼,じゃが芋のカレー炒め,チーズ入り芋もちとハンバーグ,小松菜のお浸し,わかめと玉ねぎの味噌汁,,
,29,ほうれん草スクランブル,ハム,大根と人参の味噌汁,豚汁うどん,白身魚フライ,鶏すき煮,大根とベーコンの洋風きんぴら,麩とわかめの味噌汁,,
,30,温泉玉子,ジャーマンポテト,油揚げと長ネギの味噌汁,和風おろしハンバーグ丼,おくらと白滝のお浸し,たらのフリット照りマヨソース,ニラ玉炒め,しめじとわかめの味噌汁,,
,31,肉入りコロッケ,ツナとブロッコリーのマカロニサラダ,カレースープ,ハヤシライス,ミックスサラダ,豚肉と卵の塩麴炒め,さつま芋と大根の煮物,じゃがいもと玉ねぎの味噌汁,,